"","cameras.Camera_sta","Min.dist"
"1","CT-1A",201.461158225867
"2","CT-1B",1.74026776671063
"3","CT-1C",381.448876930812
"4","CT-2A",345.413231246493
"5","CT-2B",223.989844094628
"6","CT-2C",192.219582087639
"7","CT-3A",10.4127098205901
"8","CT-3B",74.5794668247054
"9","CT-3C",18.876026613008
"10","CT-4A",24.5040247493482
"11","CT-4B",147.72879645901
"12","CT-4C",83.0170059705291
"13","CT-5A",209.140608644519
"14","CT-5B",336.33801851559
"15","CT-5C",25.0336857473133
"16","CT-6A",173.862288420549
"17","CT-6B",0.785984317541216
"18","CT-6C",287.513158492295
"19","CT-7A",467.228806808294
"20","CT-7B",136.200140172412
"21","CT-7C",119.861591280707
"22","CT-8A",13.2708405323372
"23","CT-8B",31.0223693854541
"24","CT-8C",268.466264226321
